,time,is_weekend,origin,destination,online,prediction,gx,lsl,zyb
692113,2019-04-16 20:53:17,0,齐家面道坊-上车点,天邑·宏御花园御苑,天邑·宏御花园御苑,天邑·宏御花园御苑, 天邑·宏御花园御苑,,天邑·宏御花园御苑
7053723,2019-04-16 16:37:39,0,抚琴西南街45号院-西南门,中华锦绣一期,中华锦绣一期,中华锦绣一期,,舞东风(中华锦绣分店) ,中华锦绣一期
13296355,2019-04-12 11:10:59,0,双流区华阳镇街道锦江路南湖·鑫苑鑫家,港宏宏羽天府汽车园区,港宏宏羽天府汽车园区,海昌路-B口, 四海逸家·蓝钻,,海昌路-B口
16970962,2019-03-17 08:46:40,1,嘉立酒店精选(成都宽窄巷子店)-上车点,成都双流国际机场T2航站楼国内出发,成都双流国际机场T2航站楼国内出发,成都双流国际机场T2航站楼国内出发, 成都双流国际机场T2航站楼国内出发,,成都双流国际机场T2航站楼国内出发
19331493,2019-04-08 10:33:12,0,恒大天府半岛-东2门,天府国际金融中心4号楼,天府国际金融中心4号楼,天府国际金融中心4号楼,,天府国际金融中心4号楼 ,天府国际金融中心4号楼
20460244,2019-04-14 12:11:31,1,长顺下街与东二道街交叉口,一环·府河天成龙门镇,一环·府河天成龙门镇,东二道街77号, 东二道街77号,一环·府河天成龙门镇二期-西门,
24741022,2019-04-15 05:48:39,0,御景湾-西门,成都东站,成都双流国际机场T1航站楼国际/港澳台出发,成都双流国际机场T1航站楼国际/港澳台出发,,成都东站 ,成都双流国际机场T1航站楼国际/港澳台出发
27079667,2019-04-09 14:17:50,0,新都区青年(大学生)创业园(现代服务业园区),华新牙科,中国工商银行(成都新都支行),华新牙科,,中国工商银行(成都新都支行) ,中国工商银行(成都新都支行)
101617423,2019-04-15 13:20:10,0,南鑫茶楼(万寿西路)-上车点,营康路,营康路,阳光金沙, 自强路116号,嘉得利酒店(成都东站店),
102027039,2019-03-29 14:48:27,0,成飞医院-东门,博雅新城(A区),博雅新城(A区),瀚海假日酒店, T2-1F-04出口L2通道,T2-1F-04出口L2通道,
